policy_id,customer_id,customer_age,customer_gender,marital_status,num_dependents,country,income_band,product_type,coverage_amount,premium,payment_frequency,policy_start_date,policy_end_date,tenure_months,renewal_count,acquisition_channel,agent_id,discount_applied,discount_rate,has_rider,num_riders,critical_illness_rider,disability_rider,late_payment_count,customer_service_calls,beneficiary_updated,premium_change_pct,churned,churn_reason,snapshot_date,data_version
P000000,C000860,29,M,Married,0,US,Low,Universal,163000,160.51,Monthly,04/02/2010,,175,14,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,1,TRUE,-0.02,FALSE,,30/06/2024,v1.0
P000001,C001294,47,F,Married,1,DE,Ultra,Term,62000,41.89,Monthly,11/04/2015,,112,9,Employer,,FALSE,,FALSE,0,FALSE,FALSE,0,1,FALSE,-0.08,FALSE,,30/06/2024,v1.0
P000002,C001130,57,M,Single,0,DE,Mid,Universal,196000,235.33,Quarterly,26/10/2014,,117,9,Agent,A1036,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000003,C001095,29,F,Single,3,FR,Low,Universal,140000,185.41,Quarterly,11/08/2022,,22,1,Agent,A1073,TRUE,0.15,FALSE,0,FALSE,FALSE,2,1,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000004,C001638,47,F,Divorced,3,FR,,Whole,333000,378.42,Monthly,30/04/2017,,87,7,Online,,TRUE,0.17,TRUE,0,FALSE,FALSE,1,0,FALSE,0.06,FALSE,,30/06/2024,v1.0
P000005,C002169,56,F,Married,1,US,Mid,Term,253000,196.13,Monthly,13/02/2018,25/09/2021,44,3,Online,,FALSE,,TRUE,0,FALSE,FALSE,0,0,FALSE,0.01,TRUE,Life Event,30/06/2024,v1.0
P000006,C000466,45,M,Single,1,DE,Low,Term,96000,69,Monthly,14/09/2020,05/04/2028,92,7,Bank,,FALSE,,TRUE,1,TRUE,TRUE,1,3,TRUE,0.02,TRUE,Life Event,30/06/2024,v1.0
P000007,C001238,79,M,Married,2,US,High,Term,90000,72.81,Monthly,01/06/2017,,86,7,Agent,A1000,FALSE,,FALSE,0,FALSE,FALSE,0,0,TRUE,0.07,FALSE,,30/06/2024,v1.0
P000008,C000330,24,M,Single,1,UK,Low,Whole,222000,277.05,Monthly,14/06/2013,,134,11,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.14,FALSE,,30/06/2024,v1.0
P000009,C001482,57,F,Married,0,UK,Mid,Term,125000,96.47,Quarterly,14/10/2013,,130,10,Bank,,TRUE,0.22,FALSE,0,FALSE,FALSE,0,1,TRUE,0.09,FALSE,,30/06/2024,v1.0
P000010,C002135,42,F,Married,2,US,,Whole,76000,84.74,Monthly,04/05/2014,,123,10,Online,,FALSE,,FALSE,0,FALSE,FALSE,0,0,FALSE,0.05,FALSE,,30/06/2024,v1.0
P000011,C002919,54,M,Divorced,3,US,Low,Term,74000,61.44,Quarterly,16/07/2018,29/06/2027,109,9,Agent,A1031,TRUE,0.14,FALSE,0,FALSE,FALSE,0,1,FALSE,0.09,TRUE,Price,30/06/2024,v1.0
P000012,C000130,50,M,Married,0,US,High,Term,318000,195.7,Annual,08/09/2018,,70,5,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,-0.06,FALSE,,30/06/2024,v1.0
P000013,C001685,36,F,Single,1,US,Mid,Term,205000,200.5,Monthly,01/05/2015,,111,9,Employer,,TRUE,0.21,FALSE,0,FALSE,FALSE,0,2,FALSE,0.08,FALSE,,30/06/2024,v1.0
P000014,C000769,47,M,Married,1,IT,High,Whole,206000,345.66,Monthly,30/03/2017,,88,7,Agent,A1048,FALSE,,TRUE,1,FALSE,FALSE,1,0,FALSE,-0.01,FALSE,,30/06/2024,v1.0
P000015,C002391,22,M,Married,0,UK,Mid,Term,360000,260.45,Quarterly,01/08/2019,,59,4,Online,,TRUE,0.19,FALSE,0,FALSE,FALSE,0,1,FALSE,0.03,FALSE,,30/06/2024,v1.0
P000016,C001515,52,M,Married,1,DE,High,Whole,201000,249.3,Monthly,25/04/2022,,26,2,Bank,,FALSE,,TRUE,4,FALSE,FALSE,2,0,TRUE,0.06,FALSE,,30/06/2024,v1.0
P000017,C002853,48,F,Widowed,1,US,Low,Whole,344000,373.7,Quarterly,08/11/2014,,117,9,Online,,FALSE,,TRUE,1,FALSE,TRUE,1,1,FALSE,-0.02,FALSE,,30/06/2024,v1.0
P000018,C002433,52,F,Married,0,US,Mid,Universal,146000,171.01,Monthly,04/05/2018,,74,6,Agent,A1037,FALSE,,TRUE,3,FALSE,FALSE,0,0,FALSE,-0.03,FALSE,,30/06/2024,v1.0
P000019,C001215,57,U,Single,1,US,High,Universal,156000,151.11,Annual,08/02/2017,,89,7,Agent,A1035,FALSE,,TRUE,1,FALSE,FALSE,0,0,FALSE,0.22,FALSE,,30/06/2024,v1.0
P000020,C000955,49,M,Divorced,1,US,Low,Whole,1893000,2346.56,Monthly,11/04/2019,,63,5,Online,,TRUE,0.17,TRUE,1,FALSE,FALSE,1,0,FALSE,0.05,FALSE,,30/06/2024,v1.0
P000021,C002324,46,F,Single,1,UK,Low,Whole,129000,120.66,Annual,25/08/2010,,168,14,Agent,A1098,FALSE,,FALSE,0,FALSE,FALSE,1,1,FALSE,0.01,FALSE,,30/06/2024,v1.0
P000022,C001184,34,F,Single,4,IT,Ultra,Term,221000,116.41,Annual,31/07/2023,,11,0,Agent,A1025,TRUE,0.18,FALSE,0,FALSE,FALSE,0,2,FALSE,0.11,FALSE,,30/06/2024,v1.0
P000023,C000459,36,M,Married,2,US,Ultra,Whole,304000,470.23,Monthly,09/07/2023,,11,0,Agent,A1047,FALSE,,FALSE,0,FALSE,FALSE,0,0,TRUE,-0.02,FALSE,,30/06/2024,v1.0
P000024,C000021,59,F,Divorced,1,UK,High,Term,335000,192.59,Quarterly,02/08/2019,,59,4,Bank,,FALSE,,FALSE,0,FALSE,FALSE,0,0,TRUE,0.01,FALSE,,30/06/2024,v1.0
P000025,C002300,62,M,Married,0,US,Mid,Term,143000,98.99,Monthly,12/02/2022,22/05/2026,52,4,Bank,,TRUE,0.21,FALSE,0,FALSE,FALSE,0,0,FALSE,0.11,TRUE,Price,30/06/2024,v1.0
P000026,C000747,42,M,Single,0,US,Mid,Whole,852000,1141.72,Monthly,04/04/2011,,161,13,Agent,A1071,TRUE,0.06,FALSE,0,FALSE,FALSE,0,1,TRUE,-0.14,FALSE,,30/06/2024,v1.0
P000027,C002904,45,M,Married,0,US,Low,Term,117000,101.88,Monthly,31/07/2014,23/11/2015,16,1,Bank,,FALSE,,FALSE,0,FALSE,FALSE,0,1,TRUE,-0.02,TRUE,Life Event,30/06/2024,v1.0
P000028,C000474,34,M,Single,4,DE,,Term,110000,88.26,Monthly,04/07/2010,14/12/2019,115,9,Online,,FALSE,,TRUE,1,FALSE,TRUE,0,1,FALSE,-0.08,TRUE,Unknown,30/06/2024,v1.0
P000029,C001082,59,F,Single,2,US,Mid,Term,271000,141.01,Annual,16/12/2023,,6,0,Online,,FALSE,,FALSE,0,FALSE,FALSE,1,0,FALSE,0.19,FALSE,,30/06/2024,v1.0
P000030,C002558,52,M,Single,0,US,Low,Universal,355000,361.43,Monthly,09/06/2021,10/03/2027,70,5,Agent,A1038,FALSE,,FALSE,0,FALSE,FALSE,0,0,TRUE,0.11,TRUE,Price,30/06/2024,v1.0
P000031,C002047,68,M,Married,1,UK,Mid,Term,63000,39.2,Quarterly,09/11/2010,,166,13,Online,,TRUE,0.15,FALSE,0,FALSE,FALSE,1,1,FALSE,0.03,FALSE,,30/06/2024,v1.0
P000032,C002747,34,M,Divorced,1,UK,Mid,Term,87000,70.48,Quarterly,10/03/2018,,76,6,Agent,A1092,FALSE,,FALSE,0,FALSE,FALSE,0,2,FALSE,0.05,FALSE,,30/06/2024,v1.0
P000033,C000975,40,F,Single,0,US,Mid,Universal,169000,170.27,Annual,24/08/2022,,22,1,Online,,FALSE,,TRUE,1,FALSE,FALSE,0,2,FALSE,-0.06,FALSE,,30/06/2024,v1.0
P000034,C001806,47,F,Single,0,UK,Mid,Term,227000,129.82,Quarterly,02/05/2015,,111,9,Agent,A1089,TRUE,0.21,TRUE,2,TRUE,FALSE,1,0,FALSE,-0.04,FALSE,,30/06/2024,v1.0
